t_sec      qx           qy           qz           qw
 76.750  -0.888172371  -0.050180235   0.155707957   0.429402860
 77.000  -0.888217030  -0.050293287   0.155872151   0.429237657
 77.250  -0.888261508  -0.050406255   0.156036217   0.429072724
 77.500  -0.888305805  -0.050519137   0.156200155   0.428908061
 77.750  -0.888349923  -0.050631935   0.156363964   0.428743668
 78.000  -0.888393860  -0.050744648   0.156527646   0.428579546
 78.250  -0.888437617  -0.050857275   0.156691200   0.428415694
 78.500  -0.888481194  -0.050969818   0.156854626   0.428252112
 78.750  -0.888524592  -0.051082276   0.157017924   0.428088802
 79.000  -0.888567810  -0.051194650   0.157181094   0.427925762
 79.250  -0.888610850  -0.051306938   0.157344137   0.427762994
 79.500  -0.888653710  -0.051419141   0.157507053   0.427600496
 79.750  -0.888696391  -0.051531260   0.157669841   0.427438270
 80.000  -0.888738894  -0.051643294   0.157832501   0.427276316
 80.250  -0.888781218  -0.051755243   0.157995035   0.427114634
 80.500  -0.888823364  -0.051867107   0.158157441   0.426953223
 80.750  -0.888865332  -0.051978886   0.158319720   0.426792084
 81.000  -0.888907122  -0.052090581   0.158481873   0.426631217
 81.250  -0.888948734  -0.052202191   0.158643898   0.426470623
 81.500  -0.888990169  -0.052313716   0.158805797   0.426310301
 81.750  -0.889031427  -0.052425156   0.158967569   0.426150252
 82.000  -0.889072507  -0.052536511   0.159129214   0.425990475
 82.250  -0.889113411  -0.052647782   0.159290733   0.425830972
 82.500  -0.889154137  -0.052758968   0.159452125   0.425671741
 82.750  -0.889194688  -0.052870070   0.159613391   0.425512783
 83.000  -0.889235061  -0.052981086   0.159774530   0.425354099
 83.250  -0.889275259  -0.053092018   0.159935544   0.425195688
 83.500  -0.889315280  -0.053202865   0.160096431   0.425037551
 83.750  -0.889355126  -0.053313628   0.160257192   0.424879688
 84.000  -0.889394796  -0.053424306   0.160417828   0.424722098
 84.250  -0.889434291  -0.053534899   0.160578337   0.424564782
 84.500  -0.889473610  -0.053645408   0.160738721   0.424407741
 84.750  -0.889512755  -0.053755832   0.160898979   0.424250974
 85.000  -0.889551724  -0.053866171   0.161059112   0.424094481
 85.250  -0.889590519  -0.053976426   0.161219119   0.423938262
 85.500  -0.889629139  -0.054086596   0.161379001   0.423782319
 85.750  -0.889667584  -0.054196682   0.161538757   0.423626650
 86.000  -0.889705856  -0.054306683   0.161698389   0.423471256
 86.250  -0.889743954  -0.054416600   0.161857895   0.423316137
 86.500  -0.889781878  -0.054526432   0.162017276   0.423161294
 86.750  -0.889819628  -0.054636179   0.162176532   0.423006726
 87.000  -0.889857205  -0.054745842   0.162335664   0.422852433
 87.250  -0.889894608  -0.054855420   0.162494671   0.422698416
 87.500  -0.889931839  -0.054964914   0.162653553   0.422544675
 87.750  -0.889968897  -0.055074323   0.162812311   0.422391209
 88.000  -0.890005782  -0.055183648   0.162970944   0.422238020
 88.250  -0.890042494  -0.055292888   0.163129453   0.422085106
 88.500  -0.890079034  -0.055402044   0.163287838   0.421932469
 88.750  -0.890115402  -0.055511116   0.163446099   0.421780109
 89.000  -0.890151598  -0.055620102   0.163604235   0.421628024
 89.250  -0.890187622  -0.055729005   0.163762248   0.421476217
 89.500  -0.890223475  -0.055837823   0.163920137   0.421324686
 89.750  -0.890259156  -0.055946557   0.164077902   0.421173432
 90.000  -0.890294666  -0.056055206   0.164235543   0.421022455
 90.250  -0.890330005  -0.056163771   0.164393061   0.420871756
 90.500  -0.890365173  -0.056272251   0.164550456   0.420721333
 90.750  -0.890400170  -0.056380647   0.164707727   0.420571188
 91.000  -0.890434997  -0.056488958   0.164864875   0.420421320
 91.250  -0.890469654  -0.056597186   0.165021899   0.420271730
 91.500  -0.890504140  -0.056705328   0.165178801   0.420122418
